id_ticket,id_cliente,fecha_compra,dia_semana,tienda_nombre,monto_total,medio_pago,es_dia_promocion,es_quincena,es_fin_de_semana,contiene_tecnologia,segmento_arquetipo,es_ingreso_creciente
1,1,2025-05-25 15:35:32,Domingo,Olímpica Super #099 - Regional,500400,Tarjeta_Debito_Banco,False,False,True,False,endeudado_consumidor,False
2,1,2025-05-29 17:59:32,Jueves,Olímpica Super #099 - Regional,85300,Tarjeta_Credito_Banco,False,True,False,False,endeudado_consumidor,False
3,1,2025-06-01 09:15:13,Domingo,Olímpica Super #099 - Regional,107300,Tarjeta_Credito_Banco,False,True,True,False,endeudado_consumidor,False
4,1,2025-06-08 13:27:57,Domingo,Olímpica Super #099 - Regional,127400,Tarjeta_Credito_Banco,False,False,True,False,endeudado_consumidor,False
5,1,2025-06-09 18:04:11,Lunes,Olímpica Super #099 - Regional,62200,Tarjeta_Credito_Banco,False,False,False,False,endeudado_consumidor,False
6,1,2025-06-11 18:49:34,Miércoles,Olímpica Super #099 - Regional,65300,Tarjeta_Debito_Banco,True,False,False,False,endeudado_consumidor,False
7,1,2025-06-19 08:23:34,Jueves,Olímpica Super #099 - Regional,70500,Tarjeta_Credito_Banco,False,False,False,False,endeudado_consumidor,False
8,1,2025-06-20 12:30:51,Viernes,Olímpica Super #099 - Regional,72000,Tarjeta_Credito_Banco,False,False,False,False,endeudado_consumidor,False
9,1,2025-06-21 16:01:04,Sábado,Olímpica Super #099 - Regional,86000,Tarjeta_Credito_Banco,False,False,True,False,endeudado_consumidor,False
10,1,2025-06-25 19:31:44,Miércoles,Olímpica Super #099 - Regional,73100,Tarjeta_Credito_Banco,True,False,False,False,endeudado_consumidor,False
11,1,2025-06-27 11:45:34,Viernes,Olímpica Super #099 - Regional,203200,Tarjeta_Credito_Banco,False,False,False,False,endeudado_consumidor,False
12,1,2025-06-30 12:00:50,Lunes,Olímpica Super #099 - Regional,513000,Tarjeta_Credito_Banco,False,True,False,False,endeudado_consumidor,False
13,1,2025-07-01 13:41:50,Martes,Olímpica Super #099 - Regional,86100,Tarjeta_Debito_Banco,True,True,False,False,endeudado_consumidor,False
14,1,2025-07-05 20:57:50,Sábado,Olímpica Super #099 - Regional,65200,Tarjeta_Credito_Banco,False,False,True,False,endeudado_consumidor,False
15,1,2025-07-06 16:27:22,Domingo,Olímpica Super #099 - Regional,84400,Otras_Tarjetas,False,False,True,False,endeudado_consumidor,False
16,1,2025-07-07 18:46:21,Lunes,Olímpica Super #099 - Regional,62500,Tarjeta_Debito_Banco,False,False,False,False,endeudado_consumidor,False
17,1,2025-07-11 18:27:10,Viernes,Olímpica Super #099 - Regional,61800,Otras_Tarjetas,False,False,False,False,endeudado_consumidor,False
18,1,2025-07-13 20:39:01,Domingo,Olímpica Super #099 - Regional,512500,Tarjeta_Credito_Banco,False,False,True,False,endeudado_consumidor,False
19,1,2025-07-15 17:37:32,Martes,Olímpica Super #099 - Regional,188700,Tarjeta_Credito_Banco,True,True,False,False,endeudado_consumidor,False
20,1,2025-07-17 09:01:09,Jueves,Olímpica Super #099 - Regional,79100,Tarjeta_Debito_Banco,False,False,False,False,endeudado_consumidor,False
21,1,2025-07-19 21:41:48,Sábado,Olímpica Super #099 - Regional,117200,Tarjeta_Debito_Banco,False,False,True,False,endeudado_consumidor,False
22,1,2025-07-23 11:06:51,Miércoles,Olímpica Super #099 - Regional,81400,Efectivo,True,False,False,False,endeudado_consumidor,False
23,1,2025-07-26 12:18:45,Sábado,Olímpica Super #099 - Regional,165700,Efectivo,False,False,True,False,endeudado_consumidor,False
24,1,2025-07-28 10:32:22,Lunes,Olímpica Super #099 - Regional,67900,Efectivo,False,False,False,False,endeudado_consumidor,False
25,1,2025-08-07 12:57:28,Jueves,Olímpica Super #099 - Regional,68400,Tarjeta_Debito_Banco,False,False,False,False,endeudado_consumidor,False
26,1,2025-08-08 11:58:38,Viernes,Olímpica Super #099 - Regional,74400,Efectivo,False,False,False,False,endeudado_consumidor,False
27,1,2025-08-09 18:50:29,Sábado,Olímpica Super #099 - Regional,88600,Efectivo,False,False,True,False,endeudado_consumidor,False
28,1,2025-08-10 15:22:25,Domingo,Olímpica Super #099 - Regional,466100,Tarjeta_Credito_Banco,False,False,True,False,endeudado_consumidor,False
